sistema,nombre,titulo,abstract,crs,limite_oeste,limite_este,limite_sur,limite_norte,keywords,geojson,csv
MOPSV,spearfish,Spearfish,"Spearfish City in Lawrence County, South Dakota

The area covered by the data set is in the vicinity of Spearfish and includes a majority of the Black Hills National Forest (i.e., Mount Rushmore).",EPSG:26713,-103.87791475407893,-103.62278893469492,44.37246687108142,44.50235105543566,[],http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=spearfish&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=spearfish&outputFormat=csv
MOPSV,tasmania,Tasmania,Tasmania Australia from Digital Chart of the World.,EPSG:4326,143.83482400000003,148.47914100000003,-43.648056,-39.573891,[],http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=tasmania&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=tasmania&outputFormat=csv
MOPSV,tiger-ny,TIGER New York,Topologically Integrated Geographic Encoding and Referencing (TIGER) dataset for New York.,EPSG:4326,-74.047185,-73.907005,40.679648,40.882078,[],http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=tiger-ny&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=tiger-ny&outputFormat=csv
MOPSV,Sintrasig:Aeropuertos_Bolivia,Aeropuertos_Bolivia,,"['EPSG:3857', 'CRS:84']",-69.0955556,-57.8238889,-22.7705556,-10.8888889,"['features', 'Aeropuertos_Bolivia']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Aeropuertos_Bolivia&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Aeropuertos_Bolivia&outputFormat=csv
MOPSV,nurc:Arc_Sample,A sample ArcGrid file,,"['EPSG:4326', 'CRS:84']",-180.0,180.0,-90.0,90.0,"['WCS', 'arcGridSample', 'arcGridSample_Coverage']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=nurc:Arc_Sample&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=nurc:Arc_Sample&outputFormat=csv
MOPSV,Sintrasig:Areas_Protegidas_2017_completo,Areas_Protegidas_2017_completo,,"['EPSG:3857', 'CRS:84']",-6.230846540199E-4,-5.161198809416E-4,-2.057204906667E-4,-8.6848934696E-5,"['Areas_Protegidas_2017_completo', 'features']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Areas_Protegidas_2017_completo&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Areas_Protegidas_2017_completo&outputFormat=csv
MOPSV,nurc:Img_Sample,North America sample imagery,,"['EPSG:4326', 'CRS:84']",-130.85168,-62.0054,20.7052,54.1141,"['WCS', 'worldImageSample', 'worldImageSample_Coverage']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=nurc:Img_Sample&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=nurc:Img_Sample&outputFormat=csv
MOPSV,Sintrasig:Municipios_WGS84,Municipios_WGS84,,"['EPSG:3857', 'CRS:84']",-6.256319279104E-4,-5.161238370799E-4,-2.057721644134E-4,-8.68627760756E-5,"['features', 'Municipios_WGS84']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Municipios_WGS84&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Municipios_WGS84&outputFormat=csv
MOPSV,nurc:Pk50095,Pk50095,Pk50095 is a raster file accompanied by a spatial data file.,"['EPSG:32633', 'CRS:84']",12.999446822650462,13.308182612644663,46.722110379286,46.91359611878293,"['WCS', 'img_sample2', 'Pk50095']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=nurc:Pk50095&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=nurc:Pk50095&outputFormat=csv
MOPSV,Sintrasig:Puertos_Bolivia_nuevos,Puertos_Bolivia_nuevos,,"['EPSG:3857', 'CRS:84']",-65.35116568483765,-57.84607254061044,-20.031713500999988,-10.807226726295857,"['Puertos_Bolivia_nuevos', 'features']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Puertos_Bolivia_nuevos&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Puertos_Bolivia_nuevos&outputFormat=csv
MOPSV,Sintrasig:Red_Vial_Fundamental_ABC_2017,Red_Vial_Fundamental_ABC_2017,,"['EPSG:3857', 'CRS:84']",-6.251812463843E-4,-5.183996780597E-4,-2.042357941413E-4,-9.70919575855E-5,"['features', 'Red_Vial_Fundamental_ABC_2017']",http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Red_Vial_Fundamental_ABC_2017&outputFormat=application/json,http://geoserver.oopp.gob.bo/geoserver/ows?service=WFS&request=GetFeature&typeName=Sintrasig:Red_Vial_Fundamental_ABC_2017&outputFormat=csv
